Model,Dependent,Term,Coef,Robust_SE_HC3,t,p_value,N,R2,Adj_R2
10A_OVX_CCI,Financial vulnerability,OVX_x_CCI,-0.0009023458211220446,0.01662652639779181,-0.05427145752115044,0.9567188896266876,6050,0.1382857780166067,0.1360004427685154
10A_OVX_CCI,Financial vulnerability,OVX_Change,0.002087898487848325,0.00894359331135136,0.233451859354822,0.8154105474670565,6050,0.1382857780166067,0.1360004427685154
10A_OVX_CCI,Financial vulnerability,CGRI_Equal_Weighted,0.1840668942127469,0.02689183583852852,6.844712845860462,7.662942491501585e-12,6050,0.1382857780166067,0.1360004427685154
10A_OVX_CCI,Financial vulnerability,CCI_Baseline_Recomputed,-35.55772068662323,2.215101387339266,-16.05241226873793,5.498477574346443e-58,6050,0.1382857780166067,0.1360004427685154
10A_OVX_CCI,Abs-return vulnerability,OVX_x_CCI,-0.006502294680748625,0.02358114954426971,-0.2757412088219721,0.7827468420862531,5504,0.02976239695856098,0.02693320037597235
10A_OVX_CCI,Abs-return vulnerability,OVX_Change,0.01116101608487336,0.01318621263137407,0.8464156006644287,0.3973209385342189,5504,0.02976239695856098,0.02693320037597235
10A_OVX_CCI,Abs-return vulnerability,CGRI_Equal_Weighted,0.08319856722272638,0.02624578494967874,3.169978241544069,0.001524503530415296,5504,0.02976239695856098,0.02693320037597235
10A_OVX_CCI,Abs-return vulnerability,CCI_Baseline_Recomputed,-14.94288799238099,2.589363619895867,-5.770872764861788,7.886200526948854e-09,5504,0.02976239695856098,0.02693320037597235
10A_OVX_CCI,FX volatility,OVX_x_CCI,-0.00171198753548775,0.02221020251328966,-0.07708113127124204,0.9385590034000136,6050,0.1540876053011925,0.1518441777667683
10A_OVX_CCI,FX volatility,OVX_Change,-0.0007188389002168904,0.01205818178521388,-0.05961420328712849,0.9524629059014236,6050,0.1540876053011925,0.1518441777667683
10A_OVX_CCI,FX volatility,CGRI_Equal_Weighted,0.03340769922377228,0.02973045760637876,1.123686008001591,0.2611462542990018,6050,0.1540876053011925,0.1518441777667683
10A_OVX_CCI,FX volatility,CCI_Baseline_Recomputed,-62.01193271384999,2.771170669631249,-22.37752203190781,6.516671462095833e-111,6050,0.1540876053011925,0.1518441777667683
10A_OVX_CCI,Stock volatility,OVX_x_CCI,-9.270410675637e-05,0.02275850715508908,-0.004073382587207186,0.9967499199112229,6050,0.08133094668979335,0.07889456265979777
10A_OVX_CCI,Stock volatility,OVX_Change,0.004894635875913549,0.01201789141736659,0.4072790896446694,0.6838030188606552,6050,0.08133094668979335,0.07889456265979777
10A_OVX_CCI,Stock volatility,CGRI_Equal_Weighted,0.3347260892017216,0.03476182757808706,9.629128055762067,6.023844793588867e-22,6050,0.08133094668979335,0.07889456265979777
10A_OVX_CCI,Stock volatility,CCI_Baseline_Recomputed,-9.103508659396505,2.93673184249187,-3.099877396933869,0.001936007622745771,6050,0.08133094668979335,0.07889456265979777
