Model,Dependent,Term,Coef,Robust_SE_HC3,t,p_value,N,R2,Adj_R2
10B_BDI_CCI,Financial vulnerability,BDI_x_CCI,-0.02265802218800839,0.01283810012300855,-1.764904617576591,0.07757979751940951,6050,0.138654016180502,0.1363696575295634
10B_BDI_CCI,Financial vulnerability,BDI_Return,0.007558780643901802,0.007136163883254489,1.05922184069217,0.2894987605602402,6050,0.138654016180502,0.1363696575295634
10B_BDI_CCI,Financial vulnerability,CGRI_Equal_Weighted,0.1840501684594418,0.02685885488348044,6.852494987514975,7.257293040089185e-12,6050,0.138654016180502,0.1363696575295634
10B_BDI_CCI,Financial vulnerability,CCI_Baseline_Recomputed,-35.45834612044702,2.218805133160561,-15.98082931687589,1.738179440124354e-57,6050,0.138654016180502,0.1363696575295634
10B_BDI_CCI,Abs-return vulnerability,BDI_x_CCI,-0.02418023460431064,0.01457537658100775,-1.658978378357536,0.09712014928995943,5504,0.03017983278993064,0.02735185344322721
10B_BDI_CCI,Abs-return vulnerability,BDI_Return,0.008414101995314328,0.008131016754899635,1.034815478672346,0.3007550927962168,5504,0.03017983278993064,0.02735185344322721
10B_BDI_CCI,Abs-return vulnerability,CGRI_Equal_Weighted,0.08341820669811897,0.02622236551936078,3.18118541351766,0.001466737238333522,5504,0.03017983278993064,0.02735185344322721
10B_BDI_CCI,Abs-return vulnerability,CCI_Baseline_Recomputed,-14.81890305925729,2.604343167794045,-5.690073121895582,1.269849822020864e-08,5504,0.03017983278993064,0.02735185344322721
10B_BDI_CCI,FX volatility,BDI_x_CCI,-0.01164358984231585,0.0167942011886977,-0.6933101319610155,0.4881149459810787,6050,0.1541495538623153,0.1519062906204451
10B_BDI_CCI,FX volatility,BDI_Return,-0.0005256189084665749,0.009421022251986034,-0.05579213108808546,0.9555074036634423,6050,0.1541495538623153,0.1519062906204451
10B_BDI_CCI,FX volatility,CGRI_Equal_Weighted,0.03340133542529404,0.02972040422574989,1.12385198975036,0.2610758215667843,6050,0.1541495538623153,0.1519062906204451
10B_BDI_CCI,FX volatility,CCI_Baseline_Recomputed,-61.96249902182861,2.772714563800384,-22.34723322436065,1.284612971272306e-110,6050,0.1541495538623153,0.1519062906204451
10B_BDI_CCI,Stock volatility,BDI_x_CCI,-0.03367245453370096,0.0169106355760834,-1.991199821095056,0.04645892353570004,6050,0.0818269184111583,0.07939184973795732
10B_BDI_CCI,Stock volatility,BDI_Return,0.01564318019627017,0.008966867451122016,1.74455352234662,0.08106261713569708,6050,0.0818269184111583,0.07939184973795732
10B_BDI_CCI,Stock volatility,CGRI_Equal_Weighted,0.3346990014935895,0.03469582118573217,9.646666084134262,5.077979985680129e-22,6050,0.0818269184111583,0.07939184973795732
10B_BDI_CCI,Stock volatility,CCI_Baseline_Recomputed,-8.95419321906542,2.942313649325958,-3.043249050323611,0.002340385518108681,6050,0.0818269184111583,0.07939184973795732
